"","trip_id","direction_id","route_id","date_time","vehicle_id","segement","segement_name","segement_type","time_diff","ttl_diff","speed_avg","flag_peak","time_diff_pct"
"36","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:50:45,17100,"537_509","ramp_14th","middle_middle",90,1312.62789121481,32.6251620495831,"AMPeak",0.05
"37","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:49:15,17100,"636_537","4th_ramp","middle_middle",300,4784.94545843845,35.6787225133916,"AMPeak",0.166666666666667
"38","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:44:15,17100,"657_636","grove_4th","middle_middle",90,913.135240719235,22.6958343648169,"AMPeak",0.05
"39","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:42:45,17100,"689_657","88th_grove","middle_middle",180,1731.85289361813,21.5224671357698,"AMPeak",0.1
"40","10906040__MCOB-DO:171:5:Saturday:1:23MAR:41019:6","south_bound",201,2023-05-20 07:39:45,17100,"712_689","100th_88th","end_middle",120,1205.39276062954,22.4698871699299,"AMPeak",0.0666666666666667
"41","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:15:51,15106,"459_712","Hewitt_100th","end_end",1203,12191.3815280413,22.6694432500504,"AMPeak",0.668333333333333
"42","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 07:58:49,15106,"482_459","23rd_Hewitt","middle_end",181,1348.80133654213,16.6695152848575,"AMPeak",0.100555555555556
"43","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 07:59:19,15106,"497_482","18th_23rd","middle_middle",1800,444.663470506718,0.552602069478565,"AMPeak",1
"44","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:02:19,15106,"537_509","ramp_14th","middle_middle",90,1049.7784799646,26.0920808206454,"AMPeak",0.05
"45","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:07:19,15106,"636_537","4th_ramp","middle_middle",300,4987.48168700672,37.1889244500202,"AMPeak",0.166666666666667
"46","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:09:20,15106,"657_636","grove_4th","middle_middle",121,1022.74619820971,18.9075850383342,"AMPeak",0.0672222222222222
"47","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:13:21,15106,"689_657","88th_grove","middle_middle",241,1685.19478551678,15.6417961939201,"AMPeak",0.133888888888889
"48","10906042__MCOB-DO:171:5:Saturday:1:23MAR:41004:6","north_bound",202,2023-05-20 08:15:51,15106,"712_689","100th_88th","end_middle",150,1034.2422953485,15.4235588212512,"AMPeak",0.0833333333333333
"49","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:56:48,19122,"459_712","Hewitt_100th","end_end",1682,12217.0951801694,16.2478359238688,"PMPeak",1
"50","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:56:48,19122,"482_459","23rd_Hewitt","middle_end",240,1122.77474112584,10.4648968263128,"PMPeak",0.14268727705113
"51","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:52:48,19122,"497_482","18th_23rd","middle_middle",60,728.141627830412,27.1467703398742,"PMPeak",0.0356718192627824
"52","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:50:18,19122,"537_509","ramp_14th","middle_middle",120,1463.20423297064,27.2757852007034,"PMPeak",0.0713436385255648
"53","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:48:18,19122,"636_537","4th_ramp","middle_middle",391,4707.48887755232,26.9318448588143,"PMPeak",0.232461355529132
"54","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:41:47,19122,"657_636","grove_4th","middle_middle",90,793.005198399129,19.7100208498462,"PMPeak",0.0535077288941736
"55","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:40:17,19122,"689_657","88th_grove","middle_middle",180,1822.553175379,22.6496378328866,"PMPeak",0.107015457788347
"56","10906062__MCOB-DO:171:5:Saturday:1:23MAR:41040:6","south_bound",201,2023-05-20 17:37:17,19122,"712_689","100th_88th","end_middle",511,1079.01082778517,4.72344063613004,"PMPeak",0.303804994054697
"57","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:26:36,17101,"459_712","Hewitt_100th","end_end",1397,12291.5770572041,19.6817975776908,"PMPeak",1
"58","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:05:49,17101,"482_459","23rd_Hewitt","middle_end",150,1274.4949038987,19.0064235489837,"PMPeak",0.107372942018611
